VM,PowerState,OS according to the configuration file,CPUs,Memory,Provisioned (GB),Used (GB),Datacenter,Cluster,Host,Network #1,IP Address #1,Folder
app-03010,poweredOn,ubuntu 22.04,7,9216,148,74.0,dc3,cl-app,cl-app-esx01,dvPG-vlan57,10.30.14.129,/prod/app
cache-03013,poweredOn,centos 7.9,4,21504,40,20.0,dc1,cl-cache,cl-cache-esx01,dvPG-vlan29,10.10.26.233,/dev/cache
app-03014,poweredOn,ubuntu 22.04,6,16384,157,78.5,dc2,cl-app,cl-app-esx01,dvPG-vlan66,10.20.60.151,/staging/app
web-03015,poweredOn,centos 8.4,3,5120,40,20.0,dc1,cl-web,cl-web-esx01,dvPG-vlan55,10.10.57.174,/staging/web
app-03017,poweredOn,ubuntu 22.04,8,5120,168,84.0,dc2,cl-app,cl-app-esx01,dvPG-vlan69,10.20.13.14,/staging/app
srv-03018,poweredOn,debian 11,3,11264,50,25.0,dc3,cl-general,cl-general-esx01,dvPG-vlan38,10.30.26.219,/prod/general
app-03019,poweredOn,rhel 8.6,8,15360,174,87.0,dc1,cl-app,cl-app-esx01,dvPG-vlan44,10.10.5.245,/prod/app
db-03020,poweredOn,centos 7.9,11,32768,473,236.5,dc3,cl-db,cl-db-esx01,dvPG-vlan90,10.30.15.207,/prod/db
web-03021,poweredOn,ubuntu 22.04,4,5120,40,20.0,dc1,cl-web,cl-web-esx01,dvPG-vlan33,10.10.55.89,/prod/web
srv-03022,poweredOn,2019,3,15360,50,25.0,dc1,cl-general,cl-general-esx01,dvPG-vlan18,10.10.50.206,/prod/general
app-03023,poweredOn,rhel 8.6,8,16384,138,69.0,dc1,cl-app,cl-app-esx01,dvPG-vlan26,10.10.6.209,/prod/app
srv-03024,poweredOn,ubuntu 22.04,2,8192,50,25.0,dc1,cl-general,cl-general-esx01,dvPG-vlan20,10.10.52.98,/prod/general
srv-03025,poweredOn,2019,8,14336,50,25.0,dc2,cl-general,cl-general-esx01,dvPG-vlan89,10.20.22.209,/prod/general
srv-03026,poweredOn,2019,8,16384,50,25.0,dc3,cl-general,cl-general-esx01,dvPG-vlan57,10.30.18.98,/prod/general
app-03029,poweredOn,rhel 8.6,8,14336,176,88.0,dc1,cl-app,cl-app-esx01,dvPG-vlan64,10.10.29.216,/prod/app
db-03030,poweredOn,centos 7.9,16,50176,460,230.0,dc3,cl-db,cl-db-esx01,dvPG-vlan13,10.30.43.36,/staging/db
srv-03031,poweredOn,debian 11,7,12288,50,25.0,dc1,cl-general,cl-general-esx01,dvPG-vlan22,10.10.4.232,/prod/general
app-03032,poweredOn,ubuntu 22.04,3,12288,179,89.5,dc1,cl-app,cl-app-esx01,dvPG-vlan60,10.10.33.125,/prod/app
srv-03033,poweredOn,2019,5,4096,50,25.0,dc1,cl-general,cl-general-esx01,dvPG-vlan65,10.10.43.125,/staging/general
app-03034,poweredOn,rhel 8.6,3,16384,156,78.0,dc1,cl-app,cl-app-esx01,dvPG-vlan71,10.10.1.125,/prod/app
app-03036,poweredOn,ubuntu 22.04,2,12288,172,86.0,dc1,cl-app,cl-app-esx01,dvPG-vlan30,10.10.57.213,/prod/app
web-03037,poweredOn,ubuntu 22.04,4,6144,40,20.0,dc1,cl-web,cl-web-esx01,dvPG-vlan85,10.10.20.29,/staging/web
srv-03039,poweredOn,centos 7.9,6,15360,50,25.0,dc1,cl-general,cl-general-esx01,dvPG-vlan53,10.10.20.35,/staging/general
srv-03040,poweredOn,centos 7.9,7,13312,50,25.0,dc1,cl-general,cl-general-esx01,dvPG-vlan57,10.10.48.223,/prod/general
db-03041,poweredOn,centos 7.9,11,58368,467,233.5,dc1,cl-db,cl-db-esx01,dvPG-vlan32,10.10.1.120,/dev/db
app-03042,poweredOn,ubuntu 22.04,3,5120,151,75.5,dc2,cl-app,cl-app-esx01,dvPG-vlan31,10.20.9.201,/prod/app
web-03043,poweredOn,centos 8.4,2,5120,40,20.0,dc1,cl-web,cl-web-esx01,dvPG-vlan75,10.10.2.142,/prod/web
web-03044,poweredOn,ubuntu 22.04,4,4096,40,20.0,dc2,cl-web,cl-web-esx01,dvPG-vlan57,10.20.13.199,/prod/web
db-03045,poweredOn,oracle linux 8.6,11,37888,455,227.5,dc1,cl-db,cl-db-esx01,dvPG-vlan71,10.10.52.85,/prod/db
app-03046,poweredOn,ubuntu 22.04,5,13312,140,70.0,dc2,cl-app,cl-app-esx01,dvPG-vlan20,10.20.2.226,/prod/app
app-03047,poweredOn,centos 7.9,3,12288,170,85.0,dc1,cl-app,cl-app-esx01,dvPG-vlan84,10.10.33.245,/prod/app
srv-03050,poweredOn,2019,2,9216,50,25.0,dc1,cl-general,cl-general-esx01,dvPG-vlan90,10.10.15.196,/prod/general
db-03051,poweredOn,oracle linux 8.6,11,48128,498,249.0,dc1,cl-db,cl-db-esx01,dvPG-vlan61,10.10.36.118,/prod/db
web-03052,poweredOn,ubuntu 22.04,2,4096,40,20.0,dc1,cl-web,cl-web-esx01,dvPG-vlan85,10.10.42.217,/prod/web
srv-03053,poweredOn,2019,7,14336,50,25.0,dc1,cl-general,cl-general-esx01,dvPG-vlan40,10.10.49.122,/prod/general
app-03054,poweredOn,centos 7.9,3,8192,151,75.5,dc1,cl-app,cl-app-esx01,dvPG-vlan73,10.10.47.117,/prod/app
srv-03055,poweredOn,debian 11,8,9216,50,25.0,dc1,cl-general,cl-general-esx01,dvPG-vlan15,10.10.58.138,/prod/general
cache-03056,poweredOn,centos 7.9,4,19456,40,20.0,dc3,cl-cache,cl-cache-esx01,dvPG-vlan47,10.30.55.89,/prod/cache
app-03057,poweredOn,centos 7.9,5,13312,175,87.5,dc1,cl-app,cl-app-esx01,dvPG-vlan48,10.10.53.150,/staging/app
srv-03058,poweredOn,2019,8,5120,50,25.0,dc1,cl-general,cl-general-esx01,dvPG-vlan60,10.10.37.123,/prod/general
app-03059,poweredOn,ubuntu 22.04,4,8192,166,83.0,dc1,cl-app,cl-app-esx01,dvPG-vlan68,10.10.10.133,/prod/app
app-03060,poweredOn,ubuntu 22.04,7,13312,143,71.5,dc1,cl-app,cl-app-esx01,dvPG-vlan84,10.10.44.196,/prod/app
app-03061,poweredOn,rhel 8.6,4,14336,157,78.5,dc2,cl-app,cl-app-esx01,dvPG-vlan58,10.20.1.217,/prod/app
srv-03063,poweredOn,2019,5,13312,50,25.0,dc1,cl-general,cl-general-esx01,dvPG-vlan62,10.10.37.146,/prod/general
app-03064,poweredOn,centos 7.9,5,11264,134,67.0,dc2,cl-app,cl-app-esx01,dvPG-vlan20,10.20.60.115,/prod/app
app-03065,poweredOn,ubuntu 22.04,8,7168,172,86.0,dc1,cl-app,cl-app-esx01,dvPG-vlan14,10.10.27.49,/dev/app
web-03066,poweredOn,centos 8.4,3,5120,40,20.0,dc1,cl-web,cl-web-esx01,dvPG-vlan28,10.10.16.15,/prod/web
app-03067,poweredOn,rhel 8.6,3,8192,131,65.5,dc1,cl-app,cl-app-esx01,dvPG-vlan58,10.10.46.229,/prod/app
cache-03068,poweredOn,centos 7.9,4,16384,40,20.0,dc1,cl-cache,cl-cache-esx01,dvPG-vlan78,10.10.22.114,/prod/cache
srv-03069,poweredOn,debian 11,8,6144,50,25.0,dc1,cl-general,cl-general-esx01,dvPG-vlan16,10.10.16.125,/prod/general
app-03070,poweredOn,ubuntu 22.04,8,8192,160,80.0,dc2,cl-app,cl-app-esx01,dvPG-vlan53,10.20.19.138,/prod/app
app-03071,poweredOn,centos 7.9,6,14336,153,76.5,dc2,cl-app,cl-app-esx01,dvPG-vlan54,10.20.17.44,/staging/app
srv-03072,poweredOn,ubuntu 22.04,6,16384,50,25.0,dc1,cl-general,cl-general-esx01,dvPG-vlan26,10.10.49.79,/prod/general
app-03073,poweredOn,centos 7.9,5,12288,158,79.0,dc3,cl-app,cl-app-esx01,dvPG-vlan79,10.30.41.247,/staging/app
web-03074,poweredOn,centos 8.4,2,5120,40,20.0,dc3,cl-web,cl-web-esx01,dvPG-vlan19,10.30.16.229,/staging/web
srv-03075,poweredOn,centos 7.9,2,13312,50,25.0,dc3,cl-general,cl-general-esx01,dvPG-vlan36,10.30.27.238,/dev/general
srv-03076,poweredOn,ubuntu 22.04,6,16384,50,25.0,dc1,cl-general,cl-general-esx01,dvPG-vlan73,10.10.59.134,/prod/general
app-03077,poweredOn,rhel 8.6,2,8192,141,70.5,dc2,cl-app,cl-app-esx01,dvPG-vlan83,10.20.52.106,/staging/app
srv-03078,poweredOn,2019,7,13312,50,25.0,dc1,cl-general,cl-general-esx01,dvPG-vlan33,10.10.16.51,/prod/general
db-03079,poweredOn,centos 7.9,15,32768,469,234.5,dc1,cl-db,cl-db-esx01,dvPG-vlan53,10.10.34.126,/prod/db
app-03081,poweredOn,ubuntu 22.04,2,10240,134,67.0,dc1,cl-app,cl-app-esx01,dvPG-vlan17,10.10.56.180,/prod/app
srv-03082,poweredOn,debian 11,5,10240,50,25.0,dc1,cl-general,cl-general-esx01,dvPG-vlan22,10.10.2.201,/prod/general
app-03083,poweredOn,ubuntu 22.04,7,14336,176,88.0,dc1,cl-app,cl-app-esx01,dvPG-vlan60,10.10.4.60,/prod/app
app-03084,poweredOn,rhel 8.6,8,9216,130,65.0,dc1,cl-app,cl-app-esx01,dvPG-vlan83,10.10.13.53,/prod/app
srv-03085,poweredOn,2019,3,7168,50,25.0,dc1,cl-general,cl-general-esx01,dvPG-vlan64,10.10.42.4,/prod/general
app-03086,poweredOn,centos 7.9,8,8192,161,80.5,dc3,cl-app,cl-app-esx01,dvPG-vlan19,10.30.9.104,/prod/app
app-03087,poweredOn,rhel 8.6,6,9216,153,76.5,dc1,cl-app,cl-app-esx01,dvPG-vlan15,10.10.1.26,/prod/app
srv-03089,poweredOn,ubuntu 22.04,6,15360,50,25.0,dc1,cl-general,cl-general-esx01,dvPG-vlan82,10.10.10.250,/staging/general
web-03090,poweredOn,centos 8.4,3,8192,40,20.0,dc1,cl-web,cl-web-esx01,dvPG-vlan30,10.10.22.131,/prod/web
app-03094,poweredOn,centos 7.9,6,12288,180,90.0,dc1,cl-app,cl-app-esx01,dvPG-vlan70,10.10.37.245,/prod/app
srv-03096,poweredOn,debian 11,6,11264,50,25.0,dc1,cl-general,cl-general-esx01,dvPG-vlan24,10.10.25.123,/prod/general
app-03097,poweredOn,ubuntu 22.04,8,15360,132,66.0,dc1,cl-app,cl-app-esx01,dvPG-vlan30,10.10.44.167,/staging/app
srv-03099,poweredOn,centos 7.9,7,4096,50,25.0,dc1,cl-general,cl-general-esx01,dvPG-vlan55,10.10.5.109,/staging/general
db-03100,poweredOn,oracle linux 8.6,14,40960,458,229.0,dc1,cl-db,cl-db-esx01,dvPG-vlan26,10.10.50.179,/prod/db
app-03101,poweredOn,rhel 8.6,3,4096,135,67.5,dc2,cl-app,cl-app-esx01,dvPG-vlan44,10.20.39.196,/prod/app
srv-03102,poweredOn,centos 7.9,2,14336,50,25.0,dc1,cl-general,cl-general-esx01,dvPG-vlan68,10.10.46.31,/prod/general
app-03103,poweredOn,centos 7.9,5,8192,166,83.0,dc1,cl-app,cl-app-esx01,dvPG-vlan11,10.10.22.109,/dev/app
srv-03104,poweredOn,centos 7.9,6,8192,50,25.0,dc2,cl-general,cl-general-esx01,dvPG-vlan77,10.20.22.158,/prod/general
srv-03105,poweredOn,debian 11,5,16384,50,25.0,dc1,cl-general,cl-general-esx01,dvPG-vlan51,10.10.16.215,/prod/general
app-03107,poweredOn,centos 7.9,7,8192,176,88.0,dc2,cl-app,cl-app-esx01,dvPG-vlan35,10.20.1.12,/prod/app
app-03108,poweredOn,rhel 8.6,2,13312,159,79.5,dc3,cl-app,cl-app-esx01,dvPG-vlan62,10.30.20.217,/prod/app
app-03109,poweredOn,rhel 8.6,4,8192,150,75.0,dc1,cl-app,cl-app-esx01,dvPG-vlan43,10.10.48.85,/prod/app
mon-03111,poweredOn,ubuntu 22.04,3,6144,40,20.0,dc1,cl-monitoring,cl-monitoring-esx01,dvPG-vlan61,10.10.15.149,/dev/monitoring
cache-03112,poweredOn,centos 7.9,4,22528,40,20.0,dc2,cl-cache,cl-cache-esx01,dvPG-vlan54,10.20.51.178,/staging/cache
app-03113,poweredOn,ubuntu 22.04,6,15360,162,81.0,dc1,cl-app,cl-app-esx01,dvPG-vlan22,10.10.52.213,/prod/app
srv-03114,poweredOn,ubuntu 22.04,2,11264,50,25.0,dc1,cl-general,cl-general-esx01,dvPG-vlan36,10.10.54.175,/prod/general
app-03115,poweredOn,centos 7.9,5,8192,146,73.0,dc1,cl-app,cl-app-esx01,dvPG-vlan12,10.10.31.240,/prod/app
app-03117,poweredOn,centos 7.9,8,6144,152,76.0,dc2,cl-app,cl-app-esx01,dvPG-vlan51,10.20.6.95,/prod/app
db-03118,poweredOn,oracle linux 8.6,8,50176,491,245.5,dc2,cl-db,cl-db-esx01,dvPG-vlan48,10.20.10.231,/prod/db
srv-03119,poweredOn,2019,4,5120,50,25.0,dc2,cl-general,cl-general-esx01,dvPG-vlan21,10.20.24.221,/prod/general
app-03120,poweredOn,centos 7.9,6,16384,135,67.5,dc3,cl-app,cl-app-esx01,dvPG-vlan41,10.30.5.152,/staging/app
srv-03121,poweredOn,debian 11,2,9216,50,25.0,dc1,cl-general,cl-general-esx01,dvPG-vlan42,10.10.40.248,/staging/general
srv-03122,poweredOn,centos 7.9,6,15360,50,25.0,dc1,cl-general,cl-general-esx01,dvPG-vlan50,10.10.55.195,/staging/general
app-03123,poweredOn,centos 7.9,5,10240,156,78.0,dc1,cl-app,cl-app-esx01,dvPG-vlan41,10.10.42.73,/staging/app
app-03124,poweredOn,ubuntu 22.04,2,15360,164,82.0,dc2,cl-app,cl-app-esx01,dvPG-vlan56,10.20.43.225,/prod/app
srv-03125,poweredOn,2019,3,9216,50,25.0,dc2,cl-general,cl-general-esx01,dvPG-vlan19,10.20.28.242,/prod/general
app-03126,poweredOn,ubuntu 22.04,3,4096,172,86.0,dc1,cl-app,cl-app-esx01,dvPG-vlan63,10.10.52.93,/prod/app
app-03128,poweredOn,rhel 8.6,2,5120,136,68.0,dc3,cl-app,cl-app-esx01,dvPG-vlan16,10.30.27.189,/prod/app
mon-03129,poweredOn,ubuntu 22.04,3,8192,40,20.0,dc1,cl-monitoring,cl-monitoring-esx01,dvPG-vlan45,10.10.14.11,/prod/monitoring
srv-03130,poweredOn,2019,7,5120,50,25.0,dc1,cl-general,cl-general-esx01,dvPG-vlan75,10.10.27.249,/prod/general
db-03131,poweredOn,oracle linux 8.6,9,55296,452,226.0,dc3,cl-db,cl-db-esx01,dvPG-vlan85,10.30.23.162,/dev/db
web-03132,poweredOn,ubuntu 22.04,4,8192,40,20.0,dc1,cl-web,cl-web-esx01,dvPG-vlan71,10.10.3.5,/staging/web
srv-03133,poweredOn,2019,3,4096,50,25.0,dc3,cl-general,cl-general-esx01,dvPG-vlan47,10.30.43.243,/staging/general
web-03134,poweredOn,centos 8.4,3,5120,40,20.0,dc1,cl-web,cl-web-esx01,dvPG-vlan13,10.10.15.188,/prod/web
srv-03135,poweredOn,ubuntu 22.04,2,16384,50,25.0,dc1,cl-general,cl-general-esx01,dvPG-vlan84,10.10.49.155,/prod/general
web-03137,poweredOn,ubuntu 22.04,4,4096,40,20.0,dc1,cl-web,cl-web-esx01,dvPG-vlan18,10.10.27.97,/dev/web
srv-03138,poweredOn,debian 11,8,11264,50,25.0,dc1,cl-general,cl-general-esx01,dvPG-vlan54,10.10.28.13,/staging/general
app-03140,poweredOn,centos 7.9,2,15360,151,75.5,dc1,cl-app,cl-app-esx01,dvPG-vlan37,10.10.23.111,/prod/app
app-03141,poweredOn,ubuntu 22.04,7,11264,161,80.5,dc1,cl-app,cl-app-esx01,dvPG-vlan81,10.10.7.98,/prod/app
db-03142,poweredOn,centos 7.9,14,38912,456,228.0,dc1,cl-db,cl-db-esx01,dvPG-vlan28,10.10.1.220,/prod/db
app-03143,poweredOn,centos 7.9,3,9216,148,74.0,dc1,cl-app,cl-app-esx01,dvPG-vlan85,10.10.43.89,/dev/app
srv-03144,poweredOn,centos 7.9,7,13312,50,25.0,dc1,cl-general,cl-general-esx01,dvPG-vlan90,10.10.55.104,/prod/general
web-03145,poweredOn,ubuntu 22.04,2,6144,40,20.0,dc1,cl-web,cl-web-esx01,dvPG-vlan46,10.10.52.205,/prod/web
app-03146,poweredOn,centos 7.9,8,14336,140,70.0,dc1,cl-app,cl-app-esx01,dvPG-vlan88,10.10.15.82,/prod/app
app-03147,poweredOn,centos 7.9,2,11264,171,85.5,dc2,cl-app,cl-app-esx01,dvPG-vlan62,10.20.37.146,/prod/app
app-03148,poweredOn,ubuntu 22.04,5,16384,136,68.0,dc1,cl-app,cl-app-esx01,dvPG-vlan76,10.10.13.93,/prod/app
app-03150,poweredOn,centos 7.9,2,6144,159,79.5,dc3,cl-app,cl-app-esx01,dvPG-vlan67,10.30.25.192,/prod/app
srv-03151,poweredOn,centos 7.9,3,9216,50,25.0,dc1,cl-general,cl-general-esx01,dvPG-vlan43,10.10.3.213,/prod/general
app-03152,poweredOn,rhel 8.6,8,14336,134,67.0,dc2,cl-app,cl-app-esx01,dvPG-vlan62,10.20.1.88,/prod/app
web-03153,poweredOn,centos 8.4,4,8192,40,20.0,dc2,cl-web,cl-web-esx01,dvPG-vlan77,10.20.9.126,/staging/web
db-03154,poweredOn,oracle linux 8.6,15,34816,458,229.0,dc1,cl-db,cl-db-esx01,dvPG-vlan70,10.10.6.85,/prod/db
web-03155,poweredOn,ubuntu 22.04,4,6144,40,20.0,dc1,cl-web,cl-web-esx01,dvPG-vlan81,10.10.52.179,/prod/web
app-03156,poweredOn,rhel 8.6,6,10240,149,74.5,dc1,cl-app,cl-app-esx01,dvPG-vlan56,10.10.16.21,/prod/app
app-03157,poweredOn,centos 7.9,8,5120,170,85.0,dc1,cl-app,cl-app-esx01,dvPG-vlan85,10.10.44.99,/dev/app
srv-03158,poweredOn,debian 11,8,5120,50,25.0,dc1,cl-general,cl-general-esx01,dvPG-vlan20,10.10.1.100,/prod/general
app-03159,poweredOn,ubuntu 22.04,8,16384,136,68.0,dc1,cl-app,cl-app-esx01,dvPG-vlan84,10.10.8.214,/prod/app
srv-03160,poweredOn,ubuntu 22.04,7,9216,50,25.0,dc1,cl-general,cl-general-esx01,dvPG-vlan72,10.10.39.79,/staging/general
web-03161,poweredOn,centos 8.4,3,4096,40,20.0,dc1,cl-web,cl-web-esx01,dvPG-vlan18,10.10.6.52,/dev/web
db-03162,poweredOn,centos 7.9,16,38912,495,247.5,dc3,cl-db,cl-db-esx01,dvPG-vlan39,10.30.6.180,/prod/db
app-03163,poweredOn,rhel 8.6,2,11264,162,81.0,dc2,cl-app,cl-app-esx01,dvPG-vlan56,10.20.29.11,/staging/app
web-03164,poweredOn,ubuntu 22.04,2,7168,40,20.0,dc1,cl-web,cl-web-esx01,dvPG-vlan37,10.10.30.136,/prod/web
app-03165,poweredOn,centos 7.9,2,8192,160,80.0,dc1,cl-app,cl-app-esx01,dvPG-vlan26,10.10.18.82,/staging/app
srv-03166,poweredOn,ubuntu 22.04,5,9216,50,25.0,dc1,cl-general,cl-general-esx01,dvPG-vlan44,10.10.4.118,/prod/general
app-03167,poweredOn,centos 7.9,8,11264,163,81.5,dc2,cl-app,cl-app-esx01,dvPG-vlan67,10.20.59.250,/prod/app
app-03168,poweredOn,centos 7.9,3,13312,135,67.5,dc1,cl-app,cl-app-esx01,dvPG-vlan33,10.10.40.75,/prod/app
srv-03169,poweredOn,2019,4,5120,50,25.0,dc1,cl-general,cl-general-esx01,dvPG-vlan67,10.10.28.196,/prod/general
app-03170,poweredOn,centos 7.9,7,14336,135,67.5,dc1,cl-app,cl-app-esx01,dvPG-vlan14,10.10.26.63,/prod/app
app-03171,poweredOn,rhel 8.6,6,10240,155,77.5,dc1,cl-app,cl-app-esx01,dvPG-vlan14,10.10.11.59,/prod/app
web-03172,poweredOn,ubuntu 22.04,2,4096,40,20.0,dc1,cl-web,cl-web-esx01,dvPG-vlan81,10.10.30.78,/prod/web
app-03173,poweredOn,rhel 8.6,7,13312,171,85.5,dc1,cl-app,cl-app-esx01,dvPG-vlan41,10.10.34.231,/staging/app
web-03174,poweredOn,centos 8.4,2,4096,40,20.0,dc1,cl-web,cl-web-esx01,dvPG-vlan66,10.10.49.20,/dev/web
db-03175,poweredOn,centos 7.9,15,53248,452,226.0,dc1,cl-db,cl-db-esx01,dvPG-vlan66,10.10.13.210,/prod/db
db-03176,poweredOn,centos 7.9,9,61440,467,233.5,dc2,cl-db,cl-db-esx01,dvPG-vlan88,10.20.4.11,/prod/db
app-03177,poweredOn,centos 7.9,4,8192,167,83.5,dc3,cl-app,cl-app-esx01,dvPG-vlan64,10.30.22.219,/prod/app
web-03178,poweredOn,centos 8.4,2,5120,40,20.0,dc1,cl-web,cl-web-esx01,dvPG-vlan53,10.10.47.106,/prod/web
app-03179,poweredOn,centos 7.9,3,13312,176,88.0,dc1,cl-app,cl-app-esx01,dvPG-vlan39,10.10.53.56,/dev/app
app-03180,poweredOn,centos 7.9,8,4096,155,77.5,dc2,cl-app,cl-app-esx01,dvPG-vlan54,10.20.12.162,/prod/app
app-03181,poweredOn,ubuntu 22.04,7,5120,136,68.0,dc2,cl-app,cl-app-esx01,dvPG-vlan68,10.20.30.62,/dev/app
app-03182,poweredOn,rhel 8.6,8,8192,175,87.5,dc2,cl-app,cl-app-esx01,dvPG-vlan29,10.20.33.128,/staging/app
srv-03183,poweredOn,ubuntu 22.04,8,15360,50,25.0,dc2,cl-general,cl-general-esx01,dvPG-vlan52,10.20.25.221,/staging/general
srv-03184,poweredOn,ubuntu 22.04,8,13312,50,25.0,dc1,cl-general,cl-general-esx01,dvPG-vlan21,10.10.36.171,/prod/general
app-03185,poweredOn,centos 7.9,3,8192,168,84.0,dc2,cl-app,cl-app-esx01,dvPG-vlan59,10.20.31.236,/prod/app
web-03186,poweredOn,centos 8.4,3,4096,40,20.0,dc1,cl-web,cl-web-esx01,dvPG-vlan50,10.10.56.60,/prod/web
web-03187,poweredOn,centos 8.4,2,4096,40,20.0,dc1,cl-web,cl-web-esx01,dvPG-vlan81,10.10.52.152,/prod/web
app-03189,poweredOn,ubuntu 22.04,7,14336,168,84.0,dc1,cl-app,cl-app-esx01,dvPG-vlan40,10.10.56.61,/prod/app
app-03190,poweredOn,centos 7.9,5,15360,177,88.5,dc1,cl-app,cl-app-esx01,dvPG-vlan84,10.10.26.103,/staging/app
srv-03191,poweredOn,debian 11,4,6144,50,25.0,dc2,cl-general,cl-general-esx01,dvPG-vlan32,10.20.2.161,/prod/general
web-03192,poweredOn,centos 8.4,2,4096,40,20.0,dc2,cl-web,cl-web-esx01,dvPG-vlan17,10.20.8.172,/prod/web
app-03193,poweredOn,ubuntu 22.04,5,5120,180,90.0,dc2,cl-app,cl-app-esx01,dvPG-vlan42,10.20.36.68,/prod/app
srv-03194,poweredOn,centos 7.9,3,5120,50,25.0,dc1,cl-general,cl-general-esx01,dvPG-vlan27,10.10.36.133,/staging/general
srv-03196,poweredOn,2019,3,7168,50,25.0,dc1,cl-general,cl-general-esx01,dvPG-vlan25,10.10.43.137,/prod/general
db-03197,poweredOn,oracle linux 8.6,11,59392,454,227.0,dc3,cl-db,cl-db-esx01,dvPG-vlan87,10.30.47.109,/staging/db
app-03198,poweredOn,centos 7.9,8,12288,135,67.5,dc2,cl-app,cl-app-esx01,dvPG-vlan77,10.20.14.194,/prod/app
web-03200,poweredOn,centos 8.4,4,7168,40,20.0,dc1,cl-web,cl-web-esx01,dvPG-vlan88,10.10.59.162,/prod/web
app-03203,poweredOn,rhel 8.6,3,11264,140,70.0,dc2,cl-app,cl-app-esx01,dvPG-vlan33,10.20.21.218,/prod/app
app-03204,poweredOn,rhel 8.6,5,16384,145,72.5,dc1,cl-app,cl-app-esx01,dvPG-vlan90,10.10.49.248,/prod/app
web-03205,poweredOn,ubuntu 22.04,4,4096,40,20.0,dc2,cl-web,cl-web-esx01,dvPG-vlan38,10.20.51.250,/staging/web
app-03206,poweredOn,ubuntu 22.04,4,4096,135,67.5,dc1,cl-app,cl-app-esx01,dvPG-vlan52,10.10.32.124,/prod/app
app-03207,poweredOn,ubuntu 22.04,6,14336,174,87.0,dc2,cl-app,cl-app-esx01,dvPG-vlan31,10.20.59.101,/prod/app
srv-03208,poweredOn,2019,6,4096,50,25.0,dc1,cl-general,cl-general-esx01,dvPG-vlan44,10.10.10.6,/prod/general
srv-03209,poweredOn,ubuntu 22.04,5,6144,50,25.0,dc1,cl-general,cl-general-esx01,dvPG-vlan12,10.10.26.187,/prod/general
app-03210,poweredOn,centos 7.9,4,12288,152,76.0,dc1,cl-app,cl-app-esx01,dvPG-vlan89,10.10.40.83,/prod/app
cache-03211,poweredOn,centos 7.9,4,23552,40,20.0,dc3,cl-cache,cl-cache-esx01,dvPG-vlan55,10.30.13.156,/staging/cache
srv-03212,poweredOn,debian 11,8,9216,50,25.0,dc3,cl-general,cl-general-esx01,dvPG-vlan67,10.30.17.186,/prod/general
app-03213,poweredOn,centos 7.9,2,5120,130,65.0,dc1,cl-app,cl-app-esx01,dvPG-vlan37,10.10.60.118,/prod/app
app-03215,poweredOn,centos 7.9,3,7168,145,72.5,dc1,cl-app,cl-app-esx01,dvPG-vlan14,10.10.26.246,/prod/app
mon-03216,poweredOn,ubuntu 22.04,4,5120,40,20.0,dc3,cl-monitoring,cl-monitoring-esx01,dvPG-vlan38,10.30.33.121,/prod/monitoring
srv-03217,poweredOn,ubuntu 22.04,8,5120,50,25.0,dc1,cl-general,cl-general-esx01,dvPG-vlan20,10.10.34.53,/prod/general
app-03218,poweredOn,ubuntu 22.04,3,15360,141,70.5,dc1,cl-app,cl-app-esx01,dvPG-vlan10,10.10.35.40,/prod/app
db-03219,poweredOn,centos 7.9,9,61440,493,246.5,dc1,cl-db,cl-db-esx01,dvPG-vlan18,10.10.31.214,/staging/db
web-03220,poweredOn,centos 8.4,3,8192,40,20.0,dc2,cl-web,cl-web-esx01,dvPG-vlan18,10.20.26.85,/prod/web
app-03221,poweredOn,rhel 8.6,7,9216,153,76.5,dc1,cl-app,cl-app-esx01,dvPG-vlan20,10.10.2.246,/prod/app
app-03222,poweredOn,centos 7.9,6,8192,141,70.5,dc2,cl-app,cl-app-esx01,dvPG-vlan36,10.20.9.111,/prod/app
app-03224,poweredOn,rhel 8.6,3,14336,159,79.5,dc1,cl-app,cl-app-esx01,dvPG-vlan52,10.10.18.52,/prod/app
srv-03225,poweredOn,centos 7.9,5,16384,50,25.0,dc2,cl-general,cl-general-esx01,dvPG-vlan24,10.20.56.157,/prod/general
srv-03226,poweredOn,2019,3,5120,50,25.0,dc2,cl-general,cl-general-esx01,dvPG-vlan81,10.20.25.216,/prod/general
db-03227,poweredOn,oracle linux 8.6,8,48128,454,227.0,dc1,cl-db,cl-db-esx01,dvPG-vlan12,10.10.59.66,/prod/db
web-03228,poweredOn,ubuntu 22.04,3,6144,40,20.0,dc1,cl-web,cl-web-esx01,dvPG-vlan52,10.10.19.76,/prod/web
db-03229,poweredOn,centos 7.9,13,38912,494,247.0,dc1,cl-db,cl-db-esx01,dvPG-vlan31,10.10.27.214,/prod/db
db-03230,poweredOn,centos 7.9,12,38912,476,238.0,dc1,cl-db,cl-db-esx01,dvPG-vlan88,10.10.42.158,/prod/db
cache-03231,poweredOn,centos 7.9,4,22528,40,20.0,dc2,cl-cache,cl-cache-esx01,dvPG-vlan41,10.20.24.42,/prod/cache
srv-03233,poweredOn,centos 7.9,7,15360,50,25.0,dc3,cl-general,cl-general-esx01,dvPG-vlan35,10.30.22.193,/prod/general
srv-03235,poweredOn,2019,5,15360,50,25.0,dc1,cl-general,cl-general-esx01,dvPG-vlan66,10.10.15.23,/prod/general
