VM,Disk,Capacity (GB),Disk Mode,Disk Type,Path
app-02431,Hard disk 1,50,persistent,THIN,/
app-02431,Hard disk 2,96,persistent,THIN,/data
app-02432,Hard disk 1,50,persistent,THIN,/
app-02432,Hard disk 2,123,persistent,THIN,/data
srv-02433,Hard disk 1,50,persistent,THIN,/
app-02434,Hard disk 1,50,persistent,THIN,/
app-02434,Hard disk 2,94,persistent,THIN,/data
app-02435,Hard disk 1,50,persistent,THIN,/
app-02435,Hard disk 2,83,persistent,THIN,/data
app-02437,Hard disk 1,50,persistent,THIN,/
app-02437,Hard disk 2,108,persistent,THIN,/data
srv-02438,Hard disk 1,50,persistent,THIN,/
db-02439,Hard disk 1,50,persistent,THIN,/
db-02439,Hard disk 2,426,persistent,THIN,/data
srv-02440,Hard disk 1,50,persistent,THIN,/
web-02441,Hard disk 1,40,persistent,THIN,/
app-02442,Hard disk 1,50,persistent,THIN,/
app-02442,Hard disk 2,119,persistent,THIN,/data
app-02443,Hard disk 1,50,persistent,THIN,/
app-02443,Hard disk 2,92,persistent,THIN,/data
app-02444,Hard disk 1,50,persistent,THIN,/
app-02444,Hard disk 2,126,persistent,THIN,/data
app-02445,Hard disk 1,50,persistent,THIN,/
app-02445,Hard disk 2,125,persistent,THIN,/data
web-02446,Hard disk 1,40,persistent,THIN,/
srv-02447,Hard disk 1,50,persistent,THIN,/
app-02448,Hard disk 1,50,persistent,THIN,/
app-02448,Hard disk 2,122,persistent,THIN,/data
srv-02449,Hard disk 1,50,persistent,THIN,/
srv-02450,Hard disk 1,50,persistent,THIN,/
db-02451,Hard disk 1,50,persistent,THIN,/
db-02451,Hard disk 2,442,persistent,THIN,/data
app-02452,Hard disk 1,50,persistent,THIN,/
app-02452,Hard disk 2,125,persistent,THIN,/data
app-02453,Hard disk 1,50,persistent,THIN,/
app-02453,Hard disk 2,118,persistent,THIN,/data
web-02455,Hard disk 1,40,persistent,THIN,/
web-02456,Hard disk 1,40,persistent,THIN,/
srv-02457,Hard disk 1,50,persistent,THIN,/
app-02458,Hard disk 1,50,persistent,THIN,/
app-02458,Hard disk 2,83,persistent,THIN,/data
db-02459,Hard disk 1,50,persistent,THIN,/
db-02459,Hard disk 2,448,persistent,THIN,/data
srv-02460,Hard disk 1,50,persistent,THIN,/
app-02462,Hard disk 1,50,persistent,THIN,/
app-02462,Hard disk 2,127,persistent,THIN,/data
web-02463,Hard disk 1,40,persistent,THIN,/
web-02464,Hard disk 1,40,persistent,THIN,/
app-02465,Hard disk 1,50,persistent,THIN,/
app-02465,Hard disk 2,104,persistent,THIN,/data
srv-02466,Hard disk 1,50,persistent,THIN,/
srv-02468,Hard disk 1,50,persistent,THIN,/
app-02470,Hard disk 1,50,persistent,THIN,/
app-02470,Hard disk 2,129,persistent,THIN,/data
app-02471,Hard disk 1,50,persistent,THIN,/
app-02471,Hard disk 2,81,persistent,THIN,/data
db-02472,Hard disk 1,50,persistent,THIN,/
db-02472,Hard disk 2,418,persistent,THIN,/data
app-02474,Hard disk 1,50,persistent,THIN,/
app-02474,Hard disk 2,112,persistent,THIN,/data
db-02475,Hard disk 1,50,persistent,THIN,/
db-02475,Hard disk 2,434,persistent,THIN,/data
srv-02476,Hard disk 1,50,persistent,THIN,/
app-02477,Hard disk 1,50,persistent,THIN,/
app-02477,Hard disk 2,95,persistent,THIN,/data
app-02479,Hard disk 1,50,persistent,THIN,/
app-02479,Hard disk 2,110,persistent,THIN,/data
srv-02480,Hard disk 1,50,persistent,THIN,/
cache-02481,Hard disk 1,40,persistent,THIN,/
app-02482,Hard disk 1,50,persistent,THIN,/
app-02482,Hard disk 2,127,persistent,THIN,/data
app-02483,Hard disk 1,50,persistent,THIN,/
app-02483,Hard disk 2,93,persistent,THIN,/data
db-02484,Hard disk 1,50,persistent,THIN,/
db-02484,Hard disk 2,400,persistent,THIN,/data
app-02485,Hard disk 1,50,persistent,THIN,/
app-02485,Hard disk 2,114,persistent,THIN,/data
app-02486,Hard disk 1,50,persistent,THIN,/
app-02486,Hard disk 2,120,persistent,THIN,/data
app-02487,Hard disk 1,50,persistent,THIN,/
app-02487,Hard disk 2,103,persistent,THIN,/data
web-02488,Hard disk 1,40,persistent,THIN,/
app-02490,Hard disk 1,50,persistent,THIN,/
app-02490,Hard disk 2,118,persistent,THIN,/data
app-02493,Hard disk 1,50,persistent,THIN,/
app-02493,Hard disk 2,106,persistent,THIN,/data
srv-02494,Hard disk 1,50,persistent,THIN,/
srv-02495,Hard disk 1,50,persistent,THIN,/
app-02496,Hard disk 1,50,persistent,THIN,/
app-02496,Hard disk 2,111,persistent,THIN,/data
app-02497,Hard disk 1,50,persistent,THIN,/
app-02497,Hard disk 2,84,persistent,THIN,/data
app-02498,Hard disk 1,50,persistent,THIN,/
app-02498,Hard disk 2,103,persistent,THIN,/data
app-02499,Hard disk 1,50,persistent,THIN,/
app-02499,Hard disk 2,85,persistent,THIN,/data
app-02501,Hard disk 1,50,persistent,THIN,/
app-02501,Hard disk 2,80,persistent,THIN,/data
app-02503,Hard disk 1,50,persistent,THIN,/
app-02503,Hard disk 2,111,persistent,THIN,/data
app-02504,Hard disk 1,50,persistent,THIN,/
app-02504,Hard disk 2,116,persistent,THIN,/data
app-02505,Hard disk 1,50,persistent,THIN,/
app-02505,Hard disk 2,109,persistent,THIN,/data
srv-02507,Hard disk 1,50,persistent,THIN,/
app-02508,Hard disk 1,50,persistent,THIN,/
app-02508,Hard disk 2,99,persistent,THIN,/data
app-02510,Hard disk 1,50,persistent,THIN,/
app-02510,Hard disk 2,115,persistent,THIN,/data
app-02511,Hard disk 1,50,persistent,THIN,/
app-02511,Hard disk 2,129,persistent,THIN,/data
srv-02512,Hard disk 1,50,persistent,THIN,/
app-02514,Hard disk 1,50,persistent,THIN,/
app-02514,Hard disk 2,99,persistent,THIN,/data
app-02517,Hard disk 1,50,persistent,THIN,/
app-02517,Hard disk 2,130,persistent,THIN,/data
srv-02518,Hard disk 1,50,persistent,THIN,/
app-02519,Hard disk 1,50,persistent,THIN,/
app-02519,Hard disk 2,114,persistent,THIN,/data
srv-02520,Hard disk 1,50,persistent,THIN,/
srv-02521,Hard disk 1,50,persistent,THIN,/
app-02522,Hard disk 1,50,persistent,THIN,/
app-02522,Hard disk 2,86,persistent,THIN,/data
app-02524,Hard disk 1,50,persistent,THIN,/
app-02524,Hard disk 2,117,persistent,THIN,/data
srv-02527,Hard disk 1,50,persistent,THIN,/
cache-02528,Hard disk 1,40,persistent,THIN,/
web-02529,Hard disk 1,40,persistent,THIN,/
srv-02530,Hard disk 1,50,persistent,THIN,/
srv-02531,Hard disk 1,50,persistent,THIN,/
app-02532,Hard disk 1,50,persistent,THIN,/
app-02532,Hard disk 2,113,persistent,THIN,/data
app-02533,Hard disk 1,50,persistent,THIN,/
app-02533,Hard disk 2,80,persistent,THIN,/data
app-02534,Hard disk 1,50,persistent,THIN,/
app-02534,Hard disk 2,83,persistent,THIN,/data
app-02535,Hard disk 1,50,persistent,THIN,/
app-02535,Hard disk 2,96,persistent,THIN,/data
srv-02536,Hard disk 1,50,persistent,THIN,/
srv-02537,Hard disk 1,50,persistent,THIN,/
web-02538,Hard disk 1,40,persistent,THIN,/
db-02539,Hard disk 1,50,persistent,THIN,/
db-02539,Hard disk 2,447,persistent,THIN,/data
app-02540,Hard disk 1,50,persistent,THIN,/
app-02540,Hard disk 2,129,persistent,THIN,/data
app-02542,Hard disk 1,50,persistent,THIN,/
app-02542,Hard disk 2,128,persistent,THIN,/data
srv-02543,Hard disk 1,50,persistent,THIN,/
cache-02544,Hard disk 1,40,persistent,THIN,/
app-02545,Hard disk 1,50,persistent,THIN,/
app-02545,Hard disk 2,113,persistent,THIN,/data
srv-02546,Hard disk 1,50,persistent,THIN,/
app-02547,Hard disk 1,50,persistent,THIN,/
app-02547,Hard disk 2,109,persistent,THIN,/data
app-02550,Hard disk 1,50,persistent,THIN,/
app-02550,Hard disk 2,127,persistent,THIN,/data
srv-02553,Hard disk 1,50,persistent,THIN,/
cache-02554,Hard disk 1,40,persistent,THIN,/
app-02555,Hard disk 1,50,persistent,THIN,/
app-02555,Hard disk 2,116,persistent,THIN,/data
app-02556,Hard disk 1,50,persistent,THIN,/
app-02556,Hard disk 2,122,persistent,THIN,/data
app-02557,Hard disk 1,50,persistent,THIN,/
app-02557,Hard disk 2,111,persistent,THIN,/data
app-02558,Hard disk 1,50,persistent,THIN,/
app-02558,Hard disk 2,82,persistent,THIN,/data
mon-02559,Hard disk 1,40,persistent,THIN,/
app-02560,Hard disk 1,50,persistent,THIN,/
app-02560,Hard disk 2,112,persistent,THIN,/data
db-02561,Hard disk 1,50,persistent,THIN,/
db-02561,Hard disk 2,425,persistent,THIN,/data
app-02562,Hard disk 1,50,persistent,THIN,/
app-02562,Hard disk 2,81,persistent,THIN,/data
srv-02563,Hard disk 1,50,persistent,THIN,/
app-02565,Hard disk 1,50,persistent,THIN,/
app-02565,Hard disk 2,89,persistent,THIN,/data
db-02566,Hard disk 1,50,persistent,THIN,/
db-02566,Hard disk 2,419,persistent,THIN,/data
srv-02567,Hard disk 1,50,persistent,THIN,/
srv-02568,Hard disk 1,50,persistent,THIN,/
srv-02569,Hard disk 1,50,persistent,THIN,/
app-02571,Hard disk 1,50,persistent,THIN,/
app-02571,Hard disk 2,84,persistent,THIN,/data
app-02572,Hard disk 1,50,persistent,THIN,/
app-02572,Hard disk 2,130,persistent,THIN,/data
srv-02573,Hard disk 1,50,persistent,THIN,/
srv-02575,Hard disk 1,50,persistent,THIN,/
app-02576,Hard disk 1,50,persistent,THIN,/
app-02576,Hard disk 2,107,persistent,THIN,/data
srv-02577,Hard disk 1,50,persistent,THIN,/
srv-02578,Hard disk 1,50,persistent,THIN,/
app-02579,Hard disk 1,50,persistent,THIN,/
app-02579,Hard disk 2,85,persistent,THIN,/data
db-02580,Hard disk 1,50,persistent,THIN,/
db-02580,Hard disk 2,404,persistent,THIN,/data
app-02581,Hard disk 1,50,persistent,THIN,/
app-02581,Hard disk 2,93,persistent,THIN,/data
app-02582,Hard disk 1,50,persistent,THIN,/
app-02582,Hard disk 2,120,persistent,THIN,/data
app-02583,Hard disk 1,50,persistent,THIN,/
app-02583,Hard disk 2,119,persistent,THIN,/data
web-02584,Hard disk 1,40,persistent,THIN,/
web-02585,Hard disk 1,40,persistent,THIN,/
srv-02588,Hard disk 1,50,persistent,THIN,/
web-02589,Hard disk 1,40,persistent,THIN,/
srv-02590,Hard disk 1,50,persistent,THIN,/
app-02591,Hard disk 1,50,persistent,THIN,/
app-02591,Hard disk 2,119,persistent,THIN,/data
db-02592,Hard disk 1,50,persistent,THIN,/
db-02592,Hard disk 2,439,persistent,THIN,/data
app-02593,Hard disk 1,50,persistent,THIN,/
app-02593,Hard disk 2,97,persistent,THIN,/data
app-02594,Hard disk 1,50,persistent,THIN,/
app-02594,Hard disk 2,103,persistent,THIN,/data
srv-02595,Hard disk 1,50,persistent,THIN,/
app-02596,Hard disk 1,50,persistent,THIN,/
app-02596,Hard disk 2,119,persistent,THIN,/data
app-02597,Hard disk 1,50,persistent,THIN,/
app-02597,Hard disk 2,99,persistent,THIN,/data
app-02598,Hard disk 1,50,persistent,THIN,/
app-02598,Hard disk 2,101,persistent,THIN,/data
app-02599,Hard disk 1,50,persistent,THIN,/
app-02599,Hard disk 2,115,persistent,THIN,/data
db-02600,Hard disk 1,50,persistent,THIN,/
db-02600,Hard disk 2,416,persistent,THIN,/data
app-02601,Hard disk 1,50,persistent,THIN,/
app-02601,Hard disk 2,89,persistent,THIN,/data
app-02602,Hard disk 1,50,persistent,THIN,/
app-02602,Hard disk 2,93,persistent,THIN,/data
app-02603,Hard disk 1,50,persistent,THIN,/
app-02603,Hard disk 2,107,persistent,THIN,/data
app-02604,Hard disk 1,50,persistent,THIN,/
app-02604,Hard disk 2,124,persistent,THIN,/data
db-02605,Hard disk 1,50,persistent,THIN,/
db-02605,Hard disk 2,414,persistent,THIN,/data
db-02606,Hard disk 1,50,persistent,THIN,/
db-02606,Hard disk 2,429,persistent,THIN,/data
app-02607,Hard disk 1,50,persistent,THIN,/
app-02607,Hard disk 2,83,persistent,THIN,/data
srv-02610,Hard disk 1,50,persistent,THIN,/
srv-02611,Hard disk 1,50,persistent,THIN,/
cache-02612,Hard disk 1,40,persistent,THIN,/
app-02613,Hard disk 1,50,persistent,THIN,/
app-02613,Hard disk 2,91,persistent,THIN,/data
app-02614,Hard disk 1,50,persistent,THIN,/
app-02614,Hard disk 2,84,persistent,THIN,/data
srv-02615,Hard disk 1,50,persistent,THIN,/
app-02616,Hard disk 1,50,persistent,THIN,/
app-02616,Hard disk 2,106,persistent,THIN,/data
app-02617,Hard disk 1,50,persistent,THIN,/
app-02617,Hard disk 2,107,persistent,THIN,/data
app-02618,Hard disk 1,50,persistent,THIN,/
app-02618,Hard disk 2,117,persistent,THIN,/data
app-02619,Hard disk 1,50,persistent,THIN,/
app-02619,Hard disk 2,116,persistent,THIN,/data
srv-02621,Hard disk 1,50,persistent,THIN,/
app-02622,Hard disk 1,50,persistent,THIN,/
app-02622,Hard disk 2,97,persistent,THIN,/data
srv-02623,Hard disk 1,50,persistent,THIN,/
srv-02624,Hard disk 1,50,persistent,THIN,/
srv-02626,Hard disk 1,50,persistent,THIN,/
srv-02627,Hard disk 1,50,persistent,THIN,/
app-02628,Hard disk 1,50,persistent,THIN,/
app-02628,Hard disk 2,110,persistent,THIN,/data
mon-02632,Hard disk 1,40,persistent,THIN,/
srv-02633,Hard disk 1,50,persistent,THIN,/
web-02634,Hard disk 1,40,persistent,THIN,/
srv-02635,Hard disk 1,50,persistent,THIN,/
app-02636,Hard disk 1,50,persistent,THIN,/
app-02636,Hard disk 2,123,persistent,THIN,/data
web-02637,Hard disk 1,40,persistent,THIN,/
app-02638,Hard disk 1,50,persistent,THIN,/
app-02638,Hard disk 2,117,persistent,THIN,/data
srv-02639,Hard disk 1,50,persistent,THIN,/
srv-02640,Hard disk 1,50,persistent,THIN,/
app-02641,Hard disk 1,50,persistent,THIN,/
app-02641,Hard disk 2,114,persistent,THIN,/data
app-02642,Hard disk 1,50,persistent,THIN,/
app-02642,Hard disk 2,83,persistent,THIN,/data
srv-02644,Hard disk 1,50,persistent,THIN,/
app-02645,Hard disk 1,50,persistent,THIN,/
app-02645,Hard disk 2,92,persistent,THIN,/data
web-02646,Hard disk 1,40,persistent,THIN,/
web-02647,Hard disk 1,40,persistent,THIN,/
srv-02648,Hard disk 1,50,persistent,THIN,/
app-02650,Hard disk 1,50,persistent,THIN,/
app-02650,Hard disk 2,112,persistent,THIN,/data
db-02651,Hard disk 1,50,persistent,THIN,/
db-02651,Hard disk 2,440,persistent,THIN,/data
app-02652,Hard disk 1,50,persistent,THIN,/
app-02652,Hard disk 2,89,persistent,THIN,/data
app-02653,Hard disk 1,50,persistent,THIN,/
app-02653,Hard disk 2,118,persistent,THIN,/data
srv-02654,Hard disk 1,50,persistent,THIN,/
srv-02655,Hard disk 1,50,persistent,THIN,/
srv-02656,Hard disk 1,50,persistent,THIN,/
web-02657,Hard disk 1,40,persistent,THIN,/
app-02659,Hard disk 1,50,persistent,THIN,/
app-02659,Hard disk 2,88,persistent,THIN,/data
web-02660,Hard disk 1,40,persistent,THIN,/
app-02661,Hard disk 1,50,persistent,THIN,/
app-02661,Hard disk 2,82,persistent,THIN,/data
web-02662,Hard disk 1,40,persistent,THIN,/
app-02664,Hard disk 1,50,persistent,THIN,/
app-02664,Hard disk 2,98,persistent,THIN,/data
db-02665,Hard disk 1,50,persistent,THIN,/
db-02665,Hard disk 2,402,persistent,THIN,/data
app-02666,Hard disk 1,50,persistent,THIN,/
app-02666,Hard disk 2,130,persistent,THIN,/data
app-02668,Hard disk 1,50,persistent,THIN,/
app-02668,Hard disk 2,87,persistent,THIN,/data
srv-02669,Hard disk 1,50,persistent,THIN,/
app-02670,Hard disk 1,50,persistent,THIN,/
app-02670,Hard disk 2,84,persistent,THIN,/data
app-02671,Hard disk 1,50,persistent,THIN,/
app-02671,Hard disk 2,110,persistent,THIN,/data
web-02672,Hard disk 1,40,persistent,THIN,/
app-02673,Hard disk 1,50,persistent,THIN,/
app-02673,Hard disk 2,81,persistent,THIN,/data
web-02674,Hard disk 1,40,persistent,THIN,/
app-02675,Hard disk 1,50,persistent,THIN,/
app-02675,Hard disk 2,100,persistent,THIN,/data
srv-02676,Hard disk 1,50,persistent,THIN,/
srv-02677,Hard disk 1,50,persistent,THIN,/
srv-02678,Hard disk 1,50,persistent,THIN,/
web-02679,Hard disk 1,40,persistent,THIN,/
srv-02680,Hard disk 1,50,persistent,THIN,/
app-02682,Hard disk 1,50,persistent,THIN,/
app-02682,Hard disk 2,114,persistent,THIN,/data
app-02684,Hard disk 1,50,persistent,THIN,/
app-02684,Hard disk 2,101,persistent,THIN,/data
web-02685,Hard disk 1,40,persistent,THIN,/
app-02686,Hard disk 1,50,persistent,THIN,/
app-02686,Hard disk 2,118,persistent,THIN,/data
app-02687,Hard disk 1,50,persistent,THIN,/
app-02687,Hard disk 2,94,persistent,THIN,/data
app-02688,Hard disk 1,50,persistent,THIN,/
app-02688,Hard disk 2,108,persistent,THIN,/data
app-02689,Hard disk 1,50,persistent,THIN,/
app-02689,Hard disk 2,114,persistent,THIN,/data
srv-02690,Hard disk 1,50,persistent,THIN,/
web-02691,Hard disk 1,40,persistent,THIN,/
app-02692,Hard disk 1,50,persistent,THIN,/
app-02692,Hard disk 2,95,persistent,THIN,/data
app-02693,Hard disk 1,50,persistent,THIN,/
app-02693,Hard disk 2,81,persistent,THIN,/data
app-02695,Hard disk 1,50,persistent,THIN,/
app-02695,Hard disk 2,89,persistent,THIN,/data
app-02696,Hard disk 1,50,persistent,THIN,/
app-02696,Hard disk 2,120,persistent,THIN,/data
web-02697,Hard disk 1,40,persistent,THIN,/
srv-02698,Hard disk 1,50,persistent,THIN,/
srv-02699,Hard disk 1,50,persistent,THIN,/
db-02701,Hard disk 1,50,persistent,THIN,/
db-02701,Hard disk 2,443,persistent,THIN,/data
web-02702,Hard disk 1,40,persistent,THIN,/
app-02703,Hard disk 1,50,persistent,THIN,/
app-02703,Hard disk 2,120,persistent,THIN,/data
app-02705,Hard disk 1,50,persistent,THIN,/
app-02705,Hard disk 2,116,persistent,THIN,/data
srv-02706,Hard disk 1,50,persistent,THIN,/
app-02707,Hard disk 1,50,persistent,THIN,/
app-02707,Hard disk 2,123,persistent,THIN,/data
web-02708,Hard disk 1,40,persistent,THIN,/
srv-02709,Hard disk 1,50,persistent,THIN,/
srv-02710,Hard disk 1,50,persistent,THIN,/
db-02711,Hard disk 1,50,persistent,THIN,/
db-02711,Hard disk 2,433,persistent,THIN,/data
db-02712,Hard disk 1,50,persistent,THIN,/
db-02712,Hard disk 2,407,persistent,THIN,/data
app-02713,Hard disk 1,50,persistent,THIN,/
app-02713,Hard disk 2,100,persistent,THIN,/data
db-02714,Hard disk 1,50,persistent,THIN,/
db-02714,Hard disk 2,428,persistent,THIN,/data
app-02716,Hard disk 1,50,persistent,THIN,/
app-02716,Hard disk 2,130,persistent,THIN,/data
app-02717,Hard disk 1,50,persistent,THIN,/
app-02717,Hard disk 2,124,persistent,THIN,/data
app-02718,Hard disk 1,50,persistent,THIN,/
app-02718,Hard disk 2,113,persistent,THIN,/data
srv-02720,Hard disk 1,50,persistent,THIN,/
app-02721,Hard disk 1,50,persistent,THIN,/
app-02721,Hard disk 2,120,persistent,THIN,/data
app-02723,Hard disk 1,50,persistent,THIN,/
app-02723,Hard disk 2,128,persistent,THIN,/data
web-02724,Hard disk 1,40,persistent,THIN,/
web-02725,Hard disk 1,40,persistent,THIN,/
srv-02726,Hard disk 1,50,persistent,THIN,/
app-02727,Hard disk 1,50,persistent,THIN,/
app-02727,Hard disk 2,93,persistent,THIN,/data
app-02728,Hard disk 1,50,persistent,THIN,/
app-02728,Hard disk 2,102,persistent,THIN,/data
app-02730,Hard disk 1,50,persistent,THIN,/
app-02730,Hard disk 2,101,persistent,THIN,/data
app-02732,Hard disk 1,50,persistent,THIN,/
app-02732,Hard disk 2,108,persistent,THIN,/data
db-02733,Hard disk 1,50,persistent,THIN,/
db-02733,Hard disk 2,429,persistent,THIN,/data
web-02734,Hard disk 1,40,persistent,THIN,/
srv-02735,Hard disk 1,50,persistent,THIN,/
app-02736,Hard disk 1,50,persistent,THIN,/
app-02736,Hard disk 2,101,persistent,THIN,/data
app-02737,Hard disk 1,50,persistent,THIN,/
app-02737,Hard disk 2,125,persistent,THIN,/data
db-02738,Hard disk 1,50,persistent,THIN,/
db-02738,Hard disk 2,410,persistent,THIN,/data
app-02739,Hard disk 1,50,persistent,THIN,/
app-02739,Hard disk 2,82,persistent,THIN,/data
app-02741,Hard disk 1,50,persistent,THIN,/
app-02741,Hard disk 2,107,persistent,THIN,/data
cache-02742,Hard disk 1,40,persistent,THIN,/
srv-02743,Hard disk 1,50,persistent,THIN,/
srv-02744,Hard disk 1,50,persistent,THIN,/
srv-02745,Hard disk 1,50,persistent,THIN,/
app-02746,Hard disk 1,50,persistent,THIN,/
app-02746,Hard disk 2,104,persistent,THIN,/data
app-02747,Hard disk 1,50,persistent,THIN,/
app-02747,Hard disk 2,125,persistent,THIN,/data
app-02748,Hard disk 1,50,persistent,THIN,/
app-02748,Hard disk 2,122,persistent,THIN,/data
srv-02749,Hard disk 1,50,persistent,THIN,/
app-02751,Hard disk 1,50,persistent,THIN,/
app-02751,Hard disk 2,81,persistent,THIN,/data
app-02753,Hard disk 1,50,persistent,THIN,/
app-02753,Hard disk 2,128,persistent,THIN,/data
app-02754,Hard disk 1,50,persistent,THIN,/
app-02754,Hard disk 2,106,persistent,THIN,/data
srv-02755,Hard disk 1,50,persistent,THIN,/
app-02756,Hard disk 1,50,persistent,THIN,/
app-02756,Hard disk 2,115,persistent,THIN,/data
db-02758,Hard disk 1,50,persistent,THIN,/
db-02758,Hard disk 2,430,persistent,THIN,/data
app-02759,Hard disk 1,50,persistent,THIN,/
app-02759,Hard disk 2,98,persistent,THIN,/data
srv-02760,Hard disk 1,50,persistent,THIN,/
web-02761,Hard disk 1,40,persistent,THIN,/
srv-02762,Hard disk 1,50,persistent,THIN,/
app-02763,Hard disk 1,50,persistent,THIN,/
app-02763,Hard disk 2,85,persistent,THIN,/data
app-02764,Hard disk 1,50,persistent,THIN,/
app-02764,Hard disk 2,126,persistent,THIN,/data
srv-02765,Hard disk 1,50,persistent,THIN,/
srv-02766,Hard disk 1,50,persistent,THIN,/
app-02767,Hard disk 1,50,persistent,THIN,/
app-02767,Hard disk 2,82,persistent,THIN,/data
db-02768,Hard disk 1,50,persistent,THIN,/
db-02768,Hard disk 2,439,persistent,THIN,/data
web-02770,Hard disk 1,40,persistent,THIN,/
srv-02771,Hard disk 1,50,persistent,THIN,/
srv-02772,Hard disk 1,50,persistent,THIN,/
app-02773,Hard disk 1,50,persistent,THIN,/
app-02773,Hard disk 2,86,persistent,THIN,/data
cache-02774,Hard disk 1,40,persistent,THIN,/
srv-02777,Hard disk 1,50,persistent,THIN,/
srv-02778,Hard disk 1,50,persistent,THIN,/
app-02779,Hard disk 1,50,persistent,THIN,/
app-02779,Hard disk 2,117,persistent,THIN,/data
app-02780,Hard disk 1,50,persistent,THIN,/
app-02780,Hard disk 2,89,persistent,THIN,/data
app-02781,Hard disk 1,50,persistent,THIN,/
app-02781,Hard disk 2,103,persistent,THIN,/data
app-02782,Hard disk 1,50,persistent,THIN,/
app-02782,Hard disk 2,129,persistent,THIN,/data
app-02783,Hard disk 1,50,persistent,THIN,/
app-02783,Hard disk 2,105,persistent,THIN,/data
srv-02784,Hard disk 1,50,persistent,THIN,/
srv-02785,Hard disk 1,50,persistent,THIN,/
cache-02786,Hard disk 1,40,persistent,THIN,/
app-02787,Hard disk 1,50,persistent,THIN,/
app-02787,Hard disk 2,105,persistent,THIN,/data
app-02788,Hard disk 1,50,persistent,THIN,/
app-02788,Hard disk 2,89,persistent,THIN,/data
app-02789,Hard disk 1,50,persistent,THIN,/
app-02789,Hard disk 2,82,persistent,THIN,/data
srv-02790,Hard disk 1,50,persistent,THIN,/
srv-02792,Hard disk 1,50,persistent,THIN,/
app-02793,Hard disk 1,50,persistent,THIN,/
app-02793,Hard disk 2,130,persistent,THIN,/data
app-02794,Hard disk 1,50,persistent,THIN,/
app-02794,Hard disk 2,115,persistent,THIN,/data
app-02797,Hard disk 1,50,persistent,THIN,/
app-02797,Hard disk 2,112,persistent,THIN,/data
app-02798,Hard disk 1,50,persistent,THIN,/
app-02798,Hard disk 2,121,persistent,THIN,/data
app-02799,Hard disk 1,50,persistent,THIN,/
app-02799,Hard disk 2,126,persistent,THIN,/data
app-02800,Hard disk 1,50,persistent,THIN,/
app-02800,Hard disk 2,126,persistent,THIN,/data
app-02801,Hard disk 1,50,persistent,THIN,/
app-02801,Hard disk 2,124,persistent,THIN,/data
web-02802,Hard disk 1,40,persistent,THIN,/
app-02803,Hard disk 1,50,persistent,THIN,/
app-02803,Hard disk 2,123,persistent,THIN,/data
app-02805,Hard disk 1,50,persistent,THIN,/
app-02805,Hard disk 2,128,persistent,THIN,/data
cache-02807,Hard disk 1,40,persistent,THIN,/
srv-02808,Hard disk 1,50,persistent,THIN,/
db-02809,Hard disk 1,50,persistent,THIN,/
db-02809,Hard disk 2,438,persistent,THIN,/data
app-02810,Hard disk 1,50,persistent,THIN,/
app-02810,Hard disk 2,102,persistent,THIN,/data
srv-02811,Hard disk 1,50,persistent,THIN,/
srv-02812,Hard disk 1,50,persistent,THIN,/
app-02814,Hard disk 1,50,persistent,THIN,/
app-02814,Hard disk 2,105,persistent,THIN,/data
app-02815,Hard disk 1,50,persistent,THIN,/
app-02815,Hard disk 2,130,persistent,THIN,/data
srv-02816,Hard disk 1,50,persistent,THIN,/
srv-02818,Hard disk 1,50,persistent,THIN,/
app-02819,Hard disk 1,50,persistent,THIN,/
app-02819,Hard disk 2,91,persistent,THIN,/data
app-02820,Hard disk 1,50,persistent,THIN,/
app-02820,Hard disk 2,119,persistent,THIN,/data
app-02821,Hard disk 1,50,persistent,THIN,/
app-02821,Hard disk 2,113,persistent,THIN,/data
db-02823,Hard disk 1,50,persistent,THIN,/
db-02823,Hard disk 2,429,persistent,THIN,/data
app-02824,Hard disk 1,50,persistent,THIN,/
app-02824,Hard disk 2,89,persistent,THIN,/data
app-02825,Hard disk 1,50,persistent,THIN,/
app-02825,Hard disk 2,115,persistent,THIN,/data
web-02826,Hard disk 1,40,persistent,THIN,/
app-02827,Hard disk 1,50,persistent,THIN,/
app-02827,Hard disk 2,118,persistent,THIN,/data
srv-02828,Hard disk 1,50,persistent,THIN,/
app-02829,Hard disk 1,50,persistent,THIN,/
app-02829,Hard disk 2,93,persistent,THIN,/data
app-02831,Hard disk 1,50,persistent,THIN,/
app-02831,Hard disk 2,102,persistent,THIN,/data
web-02833,Hard disk 1,40,persistent,THIN,/
app-02834,Hard disk 1,50,persistent,THIN,/
app-02834,Hard disk 2,82,persistent,THIN,/data
mon-02835,Hard disk 1,40,persistent,THIN,/
app-02836,Hard disk 1,50,persistent,THIN,/
app-02836,Hard disk 2,104,persistent,THIN,/data
app-02837,Hard disk 1,50,persistent,THIN,/
app-02837,Hard disk 2,82,persistent,THIN,/data
app-02838,Hard disk 1,50,persistent,THIN,/
app-02838,Hard disk 2,109,persistent,THIN,/data
web-02839,Hard disk 1,40,persistent,THIN,/
app-02840,Hard disk 1,50,persistent,THIN,/
app-02840,Hard disk 2,117,persistent,THIN,/data
web-02842,Hard disk 1,40,persistent,THIN,/
db-02844,Hard disk 1,50,persistent,THIN,/
db-02844,Hard disk 2,433,persistent,THIN,/data
mon-02845,Hard disk 1,40,persistent,THIN,/
